PE_Number,SEP,CCC
K-PS2-1,Planning and Carrying Out Investigations,Cause and Effect
K-PS2-2 ,Analyzing and Interpreting Data,Cause and Effect
K-PS3-1,Planning and Carrying Out Investigations,Cause and Effect
K-PS3-2 ,Constructing Explanations and Designing Solutions,Cause and Effect
K-LS1-1,Analyzing and Interpreting Data,Patterns
2-ESS1-1,Constructing Explanations and Designing Solutions,Stability and Change
K-ESS2-1,Analyzing and Interpreting Data,Patterns
K-ESS2-2,Engaging in Argument from Evidence,Systems and System Models
K-ESS3-1,Developing and Using Models,Systems and System Models
K-ESS3-2 ,Asking Questions and Defining Problems,Cause and Effect
2-ESS2-1 ,Constructing Explanations and Designing Solutions,Stability and Change
K-ESS3-3 ,"Obtaining, Evaluating, and Communicating Information",Cause and Effect
2-ESS2-2,Developing and Using Models,Patterns
2-ESS2-3,"Obtaining, Evaluating, and Communicating Information",Patterns
K-2-ETS1-1 ,Asking Questions and Defining Problems,None
K-2-ETS1-2 ,Developing and Using Models,Structure and Function
K-2-ETS1-3 ,Analyzing and Interpreting Data,None
1-PS4-1,Planning and Carrying Out Investigations,Cause and Effect
1-PS4-2,Constructing Explanations and Designing Solutions,Cause and Effect
1-PS4-3,Planning and Carrying Out Investigations,Cause and Effect
1-PS4-4 ,Constructing Explanations and Designing Solutions,None
3-PS2-1,Planning and Carrying Out Investigations,Cause and Effect
3-PS2-2,Planning and Carrying Out Investigations,Patterns
3-PS2-3,Asking Questions and Defining Problems,Cause and Effect
1-LS1-1 ,Constructing Explanations and Designing Solutions,Structure and Function
3-PS2-4 ,Asking Questions and Defining Problems,None
1-LS1-2,"Obtaining, Evaluating, and Communicating Information",Patterns
1-LS3-1,Constructing Explanations and Designing Solutions,Patterns
3-LS1-1,Developing and Using Models,Patterns
1-ESS1-1,Analyzing and Interpreting Data,Patterns
3-LS2-1,Engaging in Argument from Evidence,Cause and Effect
1-ESS1-2,Planning and Carrying Out Investigations,Patterns
3-LS3-1,Analyzing and Interpreting Data,Patterns
3-LS3-2,Constructing Explanations and Designing Solutions,Cause and Effect
2-PS1-1,Planning and Carrying Out Investigations,Patterns
2-PS1-2 ,Analyzing and Interpreting Data,Cause and Effect
2-PS1-3,Constructing Explanations and Designing Solutions,Energy and Matter
2-PS1-4,Engaging in Argument from Evidence,Cause and Effect
3-LS4-1,Analyzing and Interpreting Data,"Scale, Proportion, and Quantity"
3-LS4-2,Constructing Explanations and Designing Solutions,Cause and Effect
3-LS4-3,Engaging in Argument from Evidence,Cause and Effect
2-LS2-1,Planning and Carrying Out Investigations,Cause and Effect
2-LS2-2 ,Developing and Using Models,Structure and Function
3-LS4-4 ,Engaging in Argument from Evidence,Systems and System Models
2-LS4-1,Planning and Carrying Out Investigations,None
4-LS1-1,Engaging in Argument from Evidence,Systems and System Models
4-LS1-2,Developing and Using Models,Systems and System Models
3-ESS2-1,Analyzing and Interpreting Data,Patterns
3-ESS2-2,"Obtaining, Evaluating, and Communicating Information",Patterns
4-ESS1-1,Constructing Explanations and Designing Solutions,Patterns
3-ESS3-1 ,Engaging in Argument from Evidence,Cause and Effect
4-PS3-1,Constructing Explanations and Designing Solutions,Energy and Matter
4-PS3-2,Planning and Carrying Out Investigations,Energy and Matter
4-PS3-3,Asking Questions and Defining Problems,Energy and Matter
4-PS3-4 ,Constructing Explanations and Designing Solutions,Energy and Matter
4-PS4-1,Developing and Using Models,Patterns
4-PS4-2,Developing and Using Models,Cause and Effect
4-PS4-3 ,Constructing Explanations and Designing Solutions,Patterns
4-ESS2-1,Planning and Carrying Out Investigations,Cause and Effect
4-ESS2-2,Analyzing and Interpreting Data,Patterns
HS-PS1-1,Developing and Using Models,Patterns
HS-PS1-2,Constructing Explanations and Designing Solutions,Patterns
HS-PS1-3,Planning and Carrying Out Investigations,Patterns
HS-PS1-4,Developing and Using Models,Energy and Matter
HS-PS1-5,Constructing Explanations and Designing Solutions,Patterns
HS-PS1-6 ,Constructing Explanations and Designing Solutions,Stability and Change
HS-PS1-7,Using Mathematics and Computational Thinking,Energy and Matter
HS-PS1-8,Developing and Using Models,Energy and Matter
4-ESS3-1,"Obtaining, Evaluating, and Communicating Information",Cause and Effect
4-ESS3-2 ,Constructing Explanations and Designing Solutions,Cause and Effect
HS-PS2-1,Analyzing and Interpreting Data,Cause and Effect
HS-PS2-2,Using Mathematics and Computational Thinking,Systems and System Models
HS-PS2-3 ,Constructing Explanations and Designing Solutions,Cause and Effect
HS-PS2-4,Using Mathematics and Computational Thinking,Patterns
5-PS1-1,Developing and Using Models,"Scale, Proportion, and Quantity"
HS-PS2-5,Planning and Carrying Out Investigations,Cause and Effect
HS-PS2-6 ,"Obtaining, Evaluating, and Communicating Information",Structure and Function
5-PS1-2,Using Mathematics and Computational Thinking,"Scale, Proportion, and Quantity"
5-PS1-3,Planning and Carrying Out Investigations,"Scale, Proportion, and Quantity"
5-PS1-4,Planning and Carrying Out Investigations,Cause and Effect
HS-PS3-1,Using Mathematics and Computational Thinking,Systems and System Models
HS-PS3-2,Developing and Using Models,Energy and Matter
HS-PS3-3 ,Constructing Explanations and Designing Solutions,Energy and Matter
HS-PS3-4,Planning and Carrying Out Investigations,Systems and System Models
HS-PS3-5,Developing and Using Models,Cause and Effect
5-PS2-1,Engaging in Argument from Evidence,Cause and Effect
5-PS3-1,Developing and Using Models,Energy and Matter
5-LS1-1,Engaging in Argument from Evidence,Energy and Matter
5-LS2-1,Developing and Using Models,Systems and System Models
5-ESS1-1,Engaging in Argument from Evidence,"Scale, Proportion, and Quantity"
5-ESS1-2,Analyzing and Interpreting Data,Patterns
HS-PS4-1,Using Mathematics and Computational Thinking,Cause and Effect
HS-PS4-2,Asking Questions and Defining Problems,Stability and Change
HS-PS4-3,Engaging in Argument from Evidence,Systems and System Models
5-ESS2-1,Developing and Using Models,Systems and System Models
HS-PS4-4,"Obtaining, Evaluating, and Communicating Information",Cause and Effect
5-ESS2-2,Using Mathematics and Computational Thinking,"Scale, Proportion, and Quantity"
HS-PS4-5 ,"Obtaining, Evaluating, and Communicating Information",Cause and Effect
5-ESS3-1,"Obtaining, Evaluating, and Communicating Information",Systems and System Models
HS-LS1-1,Constructing Explanations and Designing Solutions,Structure and Function
HS-LS1-2,Developing and Using Models,Systems and System Models
3-5-ETS1-1 ,Asking Questions and Defining Problems,None
3-5-ETS1-2 ,Constructing Explanations and Designing Solutions,None
3-5-ETS1-3 ,Planning and Carrying Out Investigations,None
HS-LS1-3,Planning and Carrying Out Investigations,Stability and Change
HS-LS1-4,Developing and Using Models,Systems and System Models
HS-LS1-5,Developing and Using Models,Energy and Matter
HS-LS1-6,Constructing Explanations and Designing Solutions,Energy and Matter
HS-LS1-7,Developing and Using Models,Energy and Matter
MS-PS1-1,Developing and Using Models,"Scale, Proportion, and Quantity"
MS-PS1-2,Analyzing and Interpreting Data,Patterns
MS-PS1-3,"Obtaining, Evaluating, and Communicating Information",Structure and Function
MS-PS1-4,Developing and Using Models,Cause and Effect
